,tri.diff.1,tri.diff.5,tri.diff.10,tri.diff.15,tri.diff.30,tri.diff.60,tri.diff.90,tri.diff.180
2003-04-21,-0.425880179,-0.430692903,-0.531700022,-0.508607429,-0.252237303,-0.414875566,-0.56625092,-1.587235768
2003-04-22,0.005249517,-0.001480024,-0.06890786,-0.084570401,-0.024703079,0.004422557,-0.134210766,-1.205538554
2003-04-23,-0.008938871,-0.150745201,-0.075493409,-0.091475431,-0.021702518,-0.014227881,-0.181522736,-1.137318898
2003-04-24,-0.038773309,-0.146723147,-0.06726304,-0.085639851,-0.072373673,0.001374258,-0.143554373,-1.127643284
2003-04-25,0.037649939,-0.056147792,-0.036466068,0.230080111,-0.06037162,-0.10516966,-0.362062026,-1.045855662
2003-04-28,0.0033327,-0.101007119,-0.077914526,0.400085638,-0.080523182,-0.14444492,-0.397244609,-1.05527224
2003-04-29,-0.14401566,-0.067427836,-0.083090377,0.375927562,-0.056235355,-0.152685211,-0.428942387,-1.070757891
2003-04-30,-0.004916817,0.075251791,0.059269769,0.534658536,0.046420623,-0.00665957,-0.175199172,-0.930316345
2003-05-01,0.051802046,0.079460107,0.061083296,0.589943581,0.053694348,-0.074868338,-0.177410605,-0.903673418
2003-05-02,-0.007209388,0.019681725,0.286227904,0.537848594,0.03607643,-0.111153877,-0.238308791,-0.956563357
2003-05-05,0.036911982,0.023092593,0.501092757,0.671444211,-0.004325193,0.070871698,-0.23118691,-0.885612112
2003-05-06,-0.001336032,-0.015662541,0.443355398,0.646947112,-0.141130923,0.036395858,-0.273049826,-0.777745677
2003-05-07,-0.000708501,-0.015982022,0.459406745,0.252427029,-0.018433911,0.10192719,-0.27567234,-0.808585068
2003-05-08,-0.007976336,-0.018376811,0.510483474,0.260304969,-0.076415517,0.147391441,-0.317570718,-0.705383496
2003-05-09,-0.003798519,0.266546179,0.518166869,0.239799262,-0.007395235,0.1108048,-0.402271259,-0.544511726
2003-05-12,-0.001843152,0.478000164,0.648351618,0.256370127,-0.003214261,0.126691403,-0.454689363,-0.544693942
2003-05-13,-0.001655513,0.459017939,0.662609653,0.059867323,-0.043354693,0.149743605,-0.502286401,-0.452459253
2003-05-14,-0.00310329,0.475388767,0.268409051,0.069772914,0.009334642,0.153596038,-0.500835322,-0.510988402
2003-05-15,0.276946653,0.528860284,0.278681779,0.013266178,-0.034842618,0.122318419,-0.44783447,-0.347995179
2003-05-16,0.207655465,0.25162069,-0.026746917,-0.290451731,-0.313755501,-0.164751529,-0.737389824,-0.658465477
2003-05-19,-0.020825376,0.170351455,-0.221630037,-0.48060882,-0.345969517,-0.396666652,-0.951340961,-0.962607509
2003-05-20,0.014715315,0.203591714,-0.399150616,-0.432162916,-0.383350721,-0.368013174,-0.937326762,-1.035351967
2003-05-21,0.050368227,-0.206979716,-0.405615853,-0.488237913,-0.445984428,-0.379953212,-0.949270635,-1.029799185
2003-05-22,-0.00029294,-0.250178505,-0.515594106,-0.536249233,-0.463455199,-0.414529937,-0.909618686,-1.135761662
2003-05-23,0.12638623,-0.278367608,-0.542072422,-0.501772164,-0.505511763,-0.407821319,-0.892729742,-1.23282113
2003-05-27,0.012414883,-0.391981492,-0.650960275,-0.675769404,-0.634387474,-0.542665174,-0.731774848,-1.309814989
2003-05-28,-0.395856115,-0.60274233,-0.63575463,-0.788078034,-0.649697926,-0.684510766,-0.750014263,-1.315914305
2003-05-29,0.007169438,-0.198636137,-0.281258197,-0.27086094,-0.167134774,-0.323405458,-0.379335329,-1.006906427
2003-05-30,-0.028482043,-0.265415601,-0.286070728,-0.336720486,-0.180458376,-0.329736074,-0.435140813,-0.981185532
2003-06-02,0.012772345,-0.263704814,-0.223404557,-0.247194496,-0.152597962,-0.299500806,-0.528783885,-0.852526218
2003-06-03,-0.198345955,-0.258978783,-0.283787912,-0.259584388,-0.162638264,-0.314013618,-0.637691743,-0.830530739
2003-06-04,0.008250078,-0.0330123,-0.185335704,-0.103222015,0.029125636,-0.109507687,-0.445256494,-0.526148873
2003-06-05,-0.059610026,-0.08262206,-0.072224803,-0.060438272,0.007474637,-0.159820219,-0.545467007,-0.56544273
