,zScore,residual,sd,r2Adj,r2,beta.pVal,beta,slope,hedgeY,hedgeX,dailyTri,tri,beta.factorRank
2003-04-21,0.112556578,0.002422856,0.021525669,0.251488996,0.515703834,0.066395442,1.377778859,1.31E-05,1,-0.00590801,NA,0,5
2003-04-22,-2.082477297,-0.080600633,0.038704207,-0.10339276,0.007225058,0.807518047,-0.248784084,-2.13E-06,1,0.000958153,-0.429761278,-0.429761278,10
2003-04-23,0.051478877,0.00199274,0.038709859,-0.10371502,0.019747173,0.811515561,-0.238396747,-2.02E-06,1,0.000910505,0.005504556,-0.424256721,7
2003-04-24,-0.196911698,-0.006484652,0.032931777,-0.018007157,0.016281961,0.387917573,-0.781934342,-6.69E-06,1,0.0030113,-0.009171551,-0.433428272,2
2003-04-25,-0.298369809,-0.009868379,0.033074321,-0.026839086,0.037649706,0.412407848,-0.707759306,-6.14E-06,1,0.002763916,-0.040212565,-0.473640837,1
2003-04-28,0.317221571,0.010558864,0.033285455,-0.039990792,0.011034185,0.452889494,-0.597304597,-5.09E-06,1,0.0022917,0.039297067,-0.43434377,8
2003-04-29,0.073071363,0.002412692,0.033018301,-0.023363606,0.031897967,0.40253552,-0.73694816,-6.26E-06,1,0.002818234,0.003567581,-0.430776189,5
2003-04-30,-1.123201786,-0.03995248,0.035570171,-0.037806888,0.026177605,0.445795125,-0.729682386,-5.97E-06,1,0.002685816,-0.14401566,-0.574791849,5
2003-05-01,-0.033370257,-0.000898541,0.026926398,0.187582716,0.191799041,0.102257114,-1.32840556,-1.09E-05,1,0.004892905,-0.005033737,-0.579825586,5
2003-05-02,0.746057982,0.020047825,0.026871672,0.190881722,0.195395918,0.100050731,-1.343077501,-1.08E-05,1,0.004873652,0.054434021,-0.525391565,8
2003-05-05,-0.18817069,-0.005064365,0.026913676,0.188350186,0.198553621,0.101739935,-1.331818793,-1.08E-05,1,0.00485121,-0.007441348,-0.532832913,3
2003-05-06,-0.026255837,-0.000343079,0.013066764,-0.109954311,0.015037524,0.924968262,0.040717176,3.27E-07,1,-0.00014707,0.038669832,-0.494163081,8
2003-05-07,0.01670382,0.000218259,0.013066441,-0.10989953,0.005647436,0.923216619,0.042645385,3.44E-07,1,-0.000154825,-0.001315577,-0.495478658,3
2003-05-08,0.031838395,0.000416022,0.013066691,-0.109941886,0.004547407,0.924567378,0.041154504,3.35E-07,1,-0.00015093,-0.000671425,-0.496150083,2
2003-05-09,-0.044346998,-0.000579471,0.013066738,-0.109949892,0.030975235,0.924825433,0.040872719,3.28E-07,1,-0.000147787,-0.008021975,-0.504172058,8
2003-05-12,-0.046584529,-0.000608646,0.013065402,-0.109722951,0.028819357,0.917826812,0.048860604,3.88E-07,1,-0.000174482,-0.003853768,-0.508025827,8
2003-05-13,0.011161111,0.000145824,0.013065383,-0.10971975,0.019979634,0.917732393,0.048973281,3.90E-07,1,-0.000175406,-0.001836065,-0.509861892,4
2003-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001642816,-0.511504708,NA
2003-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.003133764,-0.514638472,NA
2003-05-16,2.98561747,0.07622488,0.025530692,-0.100482923,0.028384299,0.774817745,-0.293682962,-2.52E-06,1,0.001133617,0.276956811,-0.237681661,6
2003-05-19,0.926454968,0.026276571,0.028362491,0.154191205,0.269020772,0.127224475,-1.332410869,-1.24E-05,1,0.005600128,0.208420153,-0.029261508,1
2003-05-20,-0.056666152,-0.001592597,0.028104904,0.169484672,0.244733815,0.115167584,-1.40921827,-1.32E-05,1,0.005929648,-0.0203063,-0.049567809,7
2003-05-21,0.202758638,0.005690349,0.028064646,0.171862247,0.285029869,0.11339061,-1.421159016,-1.32E-05,1,0.005955996,0.014217123,-0.035350686,7
2003-05-22,0.47009493,0.013156302,0.027986479,0.176468969,0.395651564,0.110018821,-1.444295059,-1.33E-05,1,0.00599807,0.048835672,0.013484986,8
2003-05-23,0.093213942,0.002514697,0.026977693,0.234768136,0.386366242,0.074492421,-1.737087244,-1.60E-05,1,0.007203583,-0.000549454,0.012935532,6
2003-05-27,0.979151369,0.027488165,0.028073458,0.17134209,0.352944251,0.113777209,-1.418546663,-1.28E-05,1,0.005769723,0.122235104,0.135170636,10
2003-05-28,0.092820888,0.00260375,0.028051334,0.172647685,0.383840473,0.112809126,-1.425103668,-1.29E-05,1,0.005785811,0.012037416,0.147208052,6
2003-05-29,-2.305747911,-0.101831387,0.044164146,-0.024189063,0.084875475,0.404851756,-1.114319304,-9.15E-06,1,0.004118677,-0.395432162,-0.24822411,2
2003-05-30,0.080726376,0.003558569,0.044081866,-0.011532777,0.097799626,0.371143602,-1.128852492,-9.02E-06,1,0.004059272,0.004541351,-0.243682759,9
2003-06-02,-0.259110189,-0.009484418,0.036603803,0.004462006,0.088677768,0.333391696,-1.015586482,-7.98E-06,1,0.003591836,-0.029233457,-0.272916217,6
2003-06-03,-0.025479882,-0.000842799,0.033077038,-0.10842818,0.167477651,0.885915902,0.179146214,1.40E-06,1,-0.000630615,0.012257235,-0.260658981,7
2003-06-04,-1.1770887,-0.043547828,0.036996216,-0.069821319,0.068641344,0.570110601,-0.701446936,-5.12E-06,1,0.002304397,-0.199653716,-0.460312697,9
2003-06-05,0.074863715,0.002769649,0.036995879,-0.069801807,0.068343527,0.570017732,-0.701778416,-5.10E-06,1,0.002296405,0.008370785,-0.451941913,5
