,zScore,residual,sd,r2Adj,r2,alpha.pVal,beta.pVal,alpha,beta,slope,hedgeY,hedgeX,dailyTri,tri,alpha.factorRank,beta.factorRank
2003-04-17,-1.067925523,-0.044679493,0.041837649,-0.045031416,0.071083186,0.79226998,0.456500049,2.512241897,-1.064753551,-1.06E-05,1,0.004765968,NA,NA,1,10
2003-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003-04-21,-0.783570539,-0.031149719,0.039753561,0.067127573,0.170780065,0.506831077,0.235212023,5.566765436,-1.516646676,-1.49E-05,1,0.006709255,0.006223633,0.006223633,1,9
2003-04-22,-0.964275271,-0.036775101,0.038137555,0.504455004,0.559515559,0.048154045,0.012846576,12.86852553,-2.595086489,-2.30E-05,1,0.010368966,-0.221576406,-0.215352773,1,10
2003-04-23,-0.292351296,-0.008691181,0.029728554,0.733175261,0.762822454,0.006229501,0.000962053,12.55566393,-2.550171352,-2.18E-05,1,0.009824853,0.080791058,-0.134561715,1,10
2003-04-24,-0.704092404,-0.02120163,0.030112,0.767778476,0.793580868,0.002993385,0.000543634,14.89941029,-2.895348109,-2.53E-05,1,0.011389177,-0.077812026,-0.212373741,1,9
2003-04-25,-1.521632298,-0.055432336,0.036429521,0.671662014,0.708144013,0.009445027,0.002269201,16.04969578,-3.065383811,-2.81E-05,1,0.012653132,-0.13404478,-0.346418521,1,7
2003-04-28,0.071513078,0.002533655,0.03542926,0.662946966,0.700397303,0.009023111,0.002530381,18.26855891,-3.391343995,-2.88E-05,1,0.012978768,0.18763531,-0.158783212,1,9
2003-04-29,0.25872751,0.00850036,0.032854487,0.634258626,0.674896556,0.014671118,0.003557525,15.29604466,-2.954867833,-2.49E-05,1,0.011204347,0.030285249,-0.128497962,1,9
2003-04-30,-1.152814459,-0.027769896,0.024088782,0.72393953,0.754612916,0.006651282,0.001106904,13.23510635,-2.653589655,-2.23E-05,1,0.010042374,-0.14401566,-0.272513622,1,8
2003-05-01,-0.946155052,-0.023692078,0.025040375,0.667570183,0.704506829,0.009494812,0.002389095,16.81164215,-3.178843016,-2.66E-05,1,0.011989319,-0.013125952,-0.285639574,1,7
2003-05-02,0.418373742,0.009867001,0.023584178,0.57934428,0.626083804,0.031855658,0.006401757,11.83768489,-2.449120909,-1.96E-05,1,0.008799916,0.142429554,-0.14321002,1,10
2003-05-05,-0.513720852,-0.008695077,0.016925684,0.301618419,0.379216373,0.335353345,0.058022892,4.209615521,-1.331159377,-1.09E-05,1,0.004891152,-0.011760237,-0.154970258,1,9
2003-05-06,0.083212575,0.001383206,0.016622564,0.353352585,0.425202298,0.337922934,0.041030238,3.514078296,-1.229304704,-9.85E-06,1,0.004434089,0.03900535,-0.115964907,1,10
2003-05-07,-0.137522909,-0.00204067,0.014838766,0.463220573,0.522862732,0.234992228,0.018122519,3.735868202,-1.26217449,-1.02E-05,1,0.004591705,-0.025137604,-0.141102511,1,8
2003-05-08,-0.817336254,-0.012066824,0.014763598,0.392737202,0.460210846,0.351899788,0.03105166,2.97219944,-1.15067662,-9.49E-06,1,0.004271224,-0.043864845,-0.184967355,1,6
2003-05-09,0.209118447,0.003098965,0.014819187,0.19695417,0.286181485,0.562635217,0.11108638,2.485338784,-1.079318291,-8.65E-06,1,0.003890496,0.044159444,-0.140807911,1,9
