,zScore,residual,sd,r2Adj,r2,beta.pVal,beta,slope,hedgeY,hedgeX,dailyTri,tri,beta.factorRank
2003-04-21,0.721661075,0.002324349,0.021034641,0.244504588,0.510878431,0.069678499,1.322924776,1.26E-05,1,-0.005672792,NA,0,5
2003-04-22,-1.578457415,-0.077133039,0.037341367,-0.10327698,0.00770207,0.806103264,-0.240506474,-2.06E-06,1,0.000926273,-0.425880179,-0.425880179,10
2003-04-23,0.533524563,0.001934679,0.037346891,-0.103603423,0.020575044,0.810121096,-0.23048474,-1.96E-06,1,0.000880287,0.005249517,-0.420630663,7
2003-04-24,0.117552066,-0.006182254,0.031691784,-0.017760159,0.015950023,0.387260177,-0.748565877,-6.41E-06,1,0.002882795,-0.008938871,-0.429569533,2
2003-04-25,0.070209709,-0.009410556,0.031825328,-0.026355595,0.037067967,0.411015369,-0.679640495,-5.90E-06,1,0.002654107,-0.038773309,-0.468342842,1
2003-04-28,0.654397158,0.010216016,0.0320312,-0.039677165,0.010653427,0.451860826,-0.572817024,-4.88E-06,1,0.002197748,0.037649939,-0.430692903,8
2003-04-29,0.424808667,0.002322046,0.031770254,-0.022806474,0.031440756,0.400982038,-0.708100307,-6.02E-06,1,0.002707914,0.0033327,-0.427360203,5
2003-04-30,-0.687853746,-0.039163993,0.034316386,-0.037754443,0.025190641,0.445626707,-0.700805226,-5.73E-06,1,0.002579525,-0.14401566,-0.571375863,5
2003-05-01,0.231077255,-0.000859271,0.025903527,0.187787656,0.190722537,0.102118778,-1.270778835,-1.04E-05,1,0.004680649,-0.004916817,-0.57629268,5
2003-05-02,1.012548589,0.019324264,0.025850263,0.191124456,0.194349465,0.099890103,-1.284965363,-1.04E-05,1,0.00466278,0.051802046,-0.524490634,8
2003-05-05,0.089478052,-0.0048367,0.025890063,0.18863181,0.1974957,0.10155075,-1.274367789,-1.03E-05,1,0.004641942,-0.007209388,-0.531700022,3
2003-05-06,0.281851255,-0.000335313,0.012813891,-0.109963604,0.015377337,0.925269523,0.03962813,3.18E-07,1,-0.000143136,0.036911982,-0.49478804,8
2003-05-07,0.32057134,0.000211973,0.012813574,-0.109908731,0.005857679,0.923507997,0.041523138,3.35E-07,1,-0.00015075,-0.001336032,-0.496124072,3
2003-05-08,0.334802715,0.00040332,0.012813812,-0.109949944,0.004745313,0.9248271,0.040099886,3.27E-07,1,-0.000147062,-0.000708501,-0.496832573,2
2003-05-09,0.267852052,-0.000565417,0.012813896,-0.109964437,0.031309142,0.925296564,0.039599388,3.18E-07,1,-0.000143182,-0.007976336,-0.50480891,8
2003-05-12,0.265974562,-0.000594686,0.012812585,-0.109737304,0.029155168,0.918251497,0.047443204,3.76E-07,1,-0.00016942,-0.003798519,-0.508607429,8
2003-05-13,0.32113268,0.000141391,0.012812566,-0.109734061,0.020270486,0.918155346,0.047555196,3.79E-07,1,-0.000170327,-0.001843152,-0.510450581,4
2003-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001655513,-0.512106094,NA
2003-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00310329,-0.515209384,NA
2003-05-16,2.666637102,0.079242011,0.026540034,-0.100583481,0.028643105,0.775861968,-0.302770365,-2.60E-06,1,0.001168694,0.276946653,-0.238262731,6
2003-05-19,0.480278161,0.02756579,0.029490122,0.148253002,0.265238249,0.132213256,-1.371004997,-1.28E-05,1,0.005762339,0.207655465,-0.030607265,1
2003-05-20,-0.465501105,-0.001639458,0.029225304,0.163481541,0.240735223,0.119768661,-1.451503422,-1.36E-05,1,0.006107573,-0.020825376,-0.051432642,7
2003-05-21,-0.253846242,0.005872354,0.029185036,0.165785135,0.281057619,0.117983456,-1.463680275,-1.36E-05,1,0.0061342,0.014715315,-0.036717327,7
2003-05-22,-0.086826382,0.013593215,0.02911283,0.169907831,0.391542213,0.114849464,-1.485472943,-1.37E-05,1,0.00616908,0.050368227,0.0136509,8
2003-05-23,-0.414132755,0.002600343,0.028067401,0.228453952,0.382228169,0.077768596,-1.794949162,-1.65E-05,1,0.007443532,-0.00029294,0.01335796,6
2003-05-27,0.453404384,0.028482569,0.029211537,0.164269443,0.348010359,0.119155285,-1.455668292,-1.32E-05,1,0.005920709,0.12638623,0.139744189,10
2003-05-28,-0.454644879,0.002674331,0.029189279,0.165542544,0.37892589,0.118170295,-1.462397931,-1.32E-05,1,0.005937223,0.012414883,0.152159072,6
2003-05-29,-2.367033557,-0.097397687,0.043774446,-0.015813439,0.095116757,0.382128406,-1.164747409,-9.57E-06,1,0.004305067,-0.395856115,-0.243697043,2
2003-05-30,-0.030997733,0.00438853,0.043691061,-0.003205859,0.108863077,0.350877492,-1.171497911,-9.36E-06,1,0.004212622,0.007169438,-0.236527605,9
2003-06-02,-0.172837216,-0.00926415,0.035433326,0.018875329,0.102170837,0.303216422,-1.051998112,-8.27E-06,1,0.003720614,-0.028482043,-0.265009648,6
2003-06-03,0.379769563,-0.000719649,0.031567903,-0.108939686,0.164086429,0.897310538,0.152609702,1.19E-06,1,-0.000537203,0.012772345,-0.252237303,7
2003-06-04,-0.843944644,-0.042156283,0.035410116,-0.066544462,0.06429209,0.554890999,-0.693281914,-5.06E-06,1,0.002277573,-0.198345955,-0.450583258,9
2003-06-05,0.424081475,0.002742806,0.035409769,-0.066523595,0.064004281,0.554796425,-0.693606516,-5.04E-06,1,0.002269664,0.008250078,-0.44233318,5
2003-06-06,-0.035874439,-0.015611201,0.035724097,-0.068018175,0.040941696,0.561643817,-0.716525111,-5.15E-06,1,0.002317666,-0.059610026,-0.501943206,2
2003-06-09,0.232009731,-0.007419748,0.035821534,-0.073852171,0.005174045,0.58992242,-0.619520704,-4.51E-06,1,0.002028187,-0.026771256,-0.528714462,1
2003-06-10,0.658987475,0.0079314,0.035570662,-0.058863616,2.68E-07,0.521870515,-0.868741971,-6.26E-06,1,0.002818357,0.017498376,-0.511216085,8
2003-06-11,0.683693581,0.009163603,0.035726658,-0.068171358,0.006942937,0.562354198,-0.713978064,-5.08E-06,1,0.002286923,0.027620527,-0.483595558,8
2003-06-12,-0.495363962,-0.012915615,0.016159931,0.25267728,0.148158952,0.065850562,-1.131986443,-7.94E-06,1,0.003571078,-0.041359682,-0.52495524,3
2003-06-13,0.413072883,0.001958755,0.016109213,0.265706693,0.279216565,0.060126781,-1.24329216,-8.93E-06,1,0.004018084,0.002356908,-0.522598332,2
2003-06-16,0.705231714,0.007758501,0.016194458,0.264101405,0.245610457,0.060807735,-0.975789237,-6.76E-06,1,0.003041075,0.034184128,-0.488414205,10
2003-06-17,-0.479648954,-0.013372698,0.016725696,0.257545773,0.238476902,0.063658676,-1.003067184,-6.84E-06,1,0.003078627,-0.04761101,-0.536025215,4
