,x..i..
1999-01-22,0.638551433
1999-01-24,NA
1999-01-25,0.591924765
1999-01-26,0.603341209
1999-01-27,0.636916402
1999-01-28,0.585927468
1999-01-29,0.52795458
1999-02-01,0.535969298
1999-02-02,0.523051155
1999-02-03,0.563436123
1999-02-04,0.382203128
1999-02-05,0.367898065
1999-02-08,0.356785991
1999-02-09,0.349602992
1999-02-10,0.308068725
1999-02-11,0.139402178
1999-02-12,0.113920374
1999-02-16,0.010290639
1999-02-17,0.001650639
1999-02-18,0.021248286
1999-02-19,0.053903426
1999-02-22,0.094725568
1999-02-23,0.073199408
1999-02-24,0.08347557
1999-02-25,0.042875928
1999-02-26,0.036432454
1999-03-01,0.032494003
1999-03-02,-0.000494968
1999-03-03,-0.035066455
1999-03-04,0.074188681
1999-03-05,0.173128997
1999-03-08,0.191905814
1999-03-09,0.180467941
1999-03-10,0.31371488
1999-03-11,0.324543589
1999-03-12,0.481385846
1999-03-15,0.432185413
1999-03-16,0.467862372
1999-03-17,0.416569257
1999-03-18,0.435462349
1999-03-19,0.447727625
1999-03-22,0.468994798
1999-03-23,0.513819039
1999-03-24,0.606635433
1999-03-25,0.567714916
1999-03-26,0.592252423
1999-03-29,0.668647725
1999-03-30,0.700161828
1999-03-31,0.762182255
1999-04-01,0.688167348
1999-04-05,0.732661953
1999-04-06,0.767998895
1999-04-07,0.633037417
1999-04-08,0.478698421
1999-04-09,0.457804426
1999-04-12,0.457441306
1999-04-13,0.462661256
1999-04-14,0.483483893
1999-04-15,0.440885424
1999-04-16,0.392337438
1999-04-19,0.37989451
1999-04-20,0.311888866
1999-04-21,0.15626394
1999-04-22,0.202177169
1999-04-23,0.22770579
1999-04-26,0.352372851
1999-04-27,0.367633352
1999-04-28,0.247383909
1999-04-29,0.24067628
1999-04-30,0.310547853
1999-05-03,0.294521212
1999-05-04,0.197295353
1999-05-05,0.281022822
1999-05-06,0.24715569
1999-05-07,0.27077327
1999-05-10,0.269221856
1999-05-11,0.270872636
1999-05-12,0.139372183
1999-05-13,0.269289872
1999-05-14,0.301934578
1999-05-17,0.296979891
1999-05-18,0.342033599
1999-05-19,0.433337233
1999-05-20,0.350256923
1999-05-21,0.331354444
1999-05-24,0.359290938
1999-05-25,0.245526692
1999-05-26,0.401559418
1999-05-27,0.470628398
1999-05-28,0.452836369
1999-06-01,0.412257295
1999-06-02,0.47782105
1999-06-03,0.498210324
1999-06-04,0.540724911
1999-06-07,0.563359265
1999-06-08,0.581645421
1999-06-09,0.586411223
1999-06-10,0.607831709
1999-06-11,0.61033947
