Date,pnl,position
2003/10/31,-20100,0
2003/11/30,44700,0
2003/12/31,52800,0
2004/01/31,13200,0
2004/02/29,-231900,0
2004/03/31,205500,0
2004/04/30,77700,0
2004/05/31,91500,0
2004/06/30,-81600,0
2004/07/31,68400,0
2004/08/31,294300,0
2004/09/30,182700,0
2004/10/31,295800,0
2004/11/30,204600,0
2004/12/31,189900,0
2005/01/31,-41700,0
2005/02/28,-105000,0
2005/03/31,775200,0
2005/04/30,2214000,0
2005/05/31,572100,0
2005/06/30,51600,0
2005/07/31,-21300,0
2005/08/31,51000,0
2005/09/30,239700,0
2005/10/31,-601800,0
2005/11/30,279000,0
2005/12/31,129000,0
2006/01/31,274800,0
2006/02/28,213000,0
2006/03/31,166500,0
2006/04/30,-315900,0
2006/05/31,365700,0
2006/06/30,-155700,0
2006/07/31,-361800,0
2006/08/31,265500,0
2006/09/30,1187100,0
2006/10/31,270300,0
2006/11/30,446700,0
2006/12/31,169500,0
2007/01/31,416700,0
2007/02/28,154500,0
2007/03/31,-500700,0
2007/04/30,492600,0
2007/05/31,-138000,0
2007/06/30,-660600,0
2007/07/31,-509400,0
2007/08/31,1461300,0
2007/09/30,1233600,0
