"run","a","b","c"
1,1,5,-5
2,2,5,-5
3,3,5,-5
4,4,5,-5
5,1,6,-5
6,2,6,-5
7,3,6,-5
8,4,6,-5
9,1,7,-5
10,2,7,-5
11,3,7,-5
12,4,7,-5
13,1,8,-5
14,2,8,-5
15,3,8,-5
16,4,8,-5
17,1,5,0
18,2,5,0
19,3,5,0
20,4,5,0
21,1,6,0
22,2,6,0
23,3,6,0
24,4,6,0
25,1,7,0
26,2,7,0
27,3,7,0
28,4,7,0
29,1,8,0
30,2,8,0
31,3,8,0
32,4,8,0
33,1,5,5
34,2,5,5
35,3,5,5
36,4,5,5
37,1,6,5
38,2,6,5
39,3,6,5
40,4,6,5
41,1,7,5
42,2,7,5
43,3,7,5
44,4,7,5
45,1,8,5
46,2,8,5
47,3,8,5
48,4,8,5
49,1,5,10
50,2,5,10
51,3,5,10
52,4,5,10
53,1,6,10
54,2,6,10
55,3,6,10
56,4,6,10
57,1,7,10
58,2,7,10
59,3,7,10
60,4,7,10
61,1,8,10
62,2,8,10
63,3,8,10
64,4,8,10
