date,A,B,C_pos,C_neg,D_pos,D_neg,E_pos,E_neg,F_pos,F_neg,H_pos,H_neg
2000-01-01 15:00:00,0.0273973,-0.75924794,0.5018816,-0.44708703,-0.81389234,0.8686869,-1.21118648,1.265981,0.8744381,-0.81964355,2.2176709,-2.16287642
2000-01-02 15:00:00,0.0547945,0.2357782,0.2759041,-0.16631507,0.1264894,-0.01690032,-1.50922943,1.6188185,-0.40405512,0.5136442,2.6992058,-2.58961672
2000-01-03 15:00:00,0.0821918,-0.31502337,-0.18252059,0.3469042,-0.47895657,0.6433401,0.0937624,0.0706212,-0.26507922,0.4294628,1.4521599,-1.28777636
2000-01-04 15:00:00,0.109589,-0.74418877,0.6249078,-0.40572971,-0.96276637,1.1819444,1.153344,-0.93416592,0.2927168,-0.07353874,0.8237103,-0.60453223
2000-01-05 15:00:00,0.1369863,-0.38483639,0.6939824,-0.42000977,-0.65805838,0.932031,-3.1138279,3.3878005,0.5317771,-0.25780455,2.1383482,-1.86437563
2000-01-06 15:00:00,0.1643836,-0.229901,1.4897086,-1.16094151,-0.55776739,0.8865345,-1.17644075,1.5052079,-0.55609115,0.8848583,3.6829957,-3.3542286
2000-01-07 15:00:00,0.1917808,0.3962306,1.3693368,-0.98577514,0.0137198,0.3698419,-5.12752528,5.5110869,0.67067,-0.28710838,4.9199466,-4.53638491
2000-01-08 15:00:00,0.2191781,0.2662887,0.880053,-0.44169686,-0.1708665,0.6092227,-8.95885711,9.3972133,0.6085413,-0.17018514,3.906657,-3.46830085
2000-01-09 15:00:00,0.2465753,-0.1896118,1.4931192,-0.9999685,-0.68141139,1.1745621,-9.67792393,10.1710746,0.1990573,0.2940934,4.6529464,-4.15979567
2000-01-10 15:00:00,0.2739726,0.678276,1.5970903,-1.04914512,0.131832,0.4161132,-13.93839671,14.4863419,-1.61102909,2.1589743,2.652031,-2.10408575
2000-01-11 15:00:00,0.3013699,-0.09889981,1.2054027,-0.60266301,-0.6999882,1.3027279,-11.67840536,12.2811451,-0.7597536,1.3624933,2.3877145,-1.78497479
2000-01-12 15:00:00,0.3287671,-0.8426228,0.8536788,-0.1961446,-1.49835558,2.1558898,-11.46747917,12.1250134,-1.54541854,2.2029528,0.3977969,0.2597374
2000-01-13 15:00:00,0.3561644,-0.56890863,1.3181765,-0.60584774,-1.27928581,1.9916146,-9.97681745,10.6891462,-2.47109862,3.1834274,2.0333496,-1.32102087
2000-01-14 15:00:00,0.3835616,-1.07086866,1.1525813,-0.385458,-1.83589024,2.6030135,-5.94111908,6.7082424,-2.4027923,3.1699156,2.8974262,-2.13030296
2000-01-15 15:00:00,0.4109589,-0.20354307,1.5275597,-0.70564192,-1.02320905,1.8451269,-1.9406473,2.7625651,-2.84495404,3.6668718,1.6116602,-0.78974238
2000-01-16 15:00:00,0.4383562,-0.87488038,0.9272482,-0.05053585,-1.74919076,2.6259031,-1.27547293,2.1521853,-3.02052144,3.8972338,2.6450256,-1.76831326
2000-01-17 15:00:00,0.4657534,-0.09244914,0.538883,0.3926239,-1.02140391,1.9529108,-4.25466604,5.1861729,-2.21331574,3.1448226,1.8124086,-0.88090171
2000-01-18 15:00:00,0.4931507,-0.61751077,0.264076,0.7222253,-1.60110994,2.5874113,-5.77089517,6.7571965,-1.51455445,2.5008558,1.0826305,-0.09632915
2000-01-19 15:00:00,0.5205479,-0.34876468,0.3765471,0.6645488,-1.38700826,2.4281041,-7.92902825,8.9701241,-3.35183925,4.3929351,-0.33266986,1.3737658
2000-01-20 15:00:00,0.5479452,0.4778594,0.0001723,1.0957181,-0.61502857,1.710919,-6.53721838,7.6331088,-2.01265341,3.1085438,-2.07799388,3.1738843
2000-01-21 15:00:00,0.5753425,0.8215229,0.6230057,0.5276792,-0.32600951,1.4766944,-2.91678101,4.0674659,-2.98253244,4.1332174,-1.41491735,2.5656023
2000-01-22 15:00:00,0.6027397,-0.00714407,0.4882664,0.717213,-1.20932083,2.4148003,-6.91094042,8.1164199,-4.5026638,5.7081432,-0.34399118,1.5494706
2000-01-23 15:00:00,0.630137,0.0522592,0.7694406,0.4908334,-1.20456193,2.4648359,-5.92090881,7.1811828,-3.7425613,5.0028353,0.5049733,0.7553007
2000-01-24 15:00:00,0.6575342,-0.31226347,1.0119064,0.3031621,-1.62372903,2.9387975,-10.74769294,12.0627614,-4.33747221,5.6525407,-1.76372913,3.0787976
2000-01-25 15:00:00,0.6849315,-0.56704232,1.1819884,0.1878746,-1.93315228,3.3030153,-14.77871043,16.1485734,-5.60500039,6.9748634,-1.80153549,3.1713985
2000-01-26 15:00:00,0.7123288,-0.59070526,1.2915631,0.1330944,-2.01145962,3.4361172,-11.7253747,13.1500322,-3.95103354,5.3756911,0.700272,0.7243855
2000-01-27 15:00:00,0.739726,-1.15136021,1.8878922,-0.40844018,-2.62675897,4.106211,-12.00524384,13.4846959,-5.4582411,6.9376932,0.735338,0.7441141
2000-01-28 15:00:00,0.7671233,-0.98748272,1.6173138,-0.08306727,-2.51752588,4.0517725,-7.60509744,9.139344,-5.29059203,6.8248386,-1.78194793,3.3161945
2000-01-29 15:00:00,0.7945205,-0.59645535,1.914087,-0.32504589,-2.1811429,3.770184,-6.06246103,7.6515021,-5.14471872,6.7337598,-0.37349535,1.9625364
2000-01-30 15:00:00,0.8219178,-0.18968492,2.1460264,-0.50219079,-1.82901688,3.4728525,-4.93929337,6.583129,-4.6164093,6.2602449,-2.4305511,4.0743867
2000-01-31 15:00:00,0.8493151,0.7178094,2.4921553,-0.79352518,-0.97616695,2.6747971,-9.95469562,11.6533258,-5.75180779,7.4504379,-5.1477419,6.846372
2000-02-01 15:00:00,0.8767123,0.3968189,3.1115505,-1.35812587,-1.35180185,3.1052265,-7.77014668,9.5235713,-6.66450197,8.4179266,-3.03324185,4.7866665
2000-02-02 15:00:00,0.9041096,-0.10826747,3.2735526,-1.46533345,-1.91153262,3.7197518,-8.38579926,10.1940184,-6.25814904,8.0663682,-2.50247579,4.310695
2000-02-03 15:00:00,0.9315068,0.2908484,3.8951748,-2.03216112,-1.56706114,3.4300748,-6.25917848,8.1221922,-6.69828906,8.5613028,-2.57765875,4.4406724
2000-02-04 15:00:00,0.9589041,-0.47226171,3.5496715,-1.63186333,-2.38481566,4.3026239,-8.00857073,9.9263789,-8.63809784,10.5559061,-4.61912013,6.5369283
2000-02-05 15:00:00,0.9863014,0.5142308,4.1904042,-2.21780149,-1.45296756,3.4255703,-9.88728645,11.8598892,-10.52481424,12.497417,-5.06844459,7.0410473
2000-02-06 15:00:00,1.0136986,0.1065592,4.0202496,-1.99285239,-1.91528356,3.9426808,-5.75898114,7.7863784,-8.78686156,10.8142588,-7.42069674,9.448094
2000-02-07 15:00:00,1.0410959,0.0833172,3.5423634,-1.46017165,-1.99316998,4.0753618,-8.93201566,11.0142074,-9.08299336,11.1651851,-5.26159581,7.3437876
2000-02-08 15:00:00,1.0684932,-0.79142724,4.0940515,-1.95706522,-2.92255879,5.0595451,-8.19311615,10.3301024,-9.35235596,11.4893423,-3.14333232,5.2803186
2000-02-09 15:00:00,1.0958904,-1.76594583,3.7814302,-1.58964942,-3.95172177,6.1435026,-7.01527626,9.2070571,-7.56309605,9.7548769,-3.22129362,5.4130744
2000-02-10 15:00:00,1.1232877,-2.07912718,4.295361,-2.04878566,-4.31954752,6.5661229,-9.85852611,12.1051014,-7.37288994,9.6194653,-3.17765751,5.4242329
2000-02-11 15:00:00,1.1506849,-2.63013946,4.2214967,-1.92012682,-4.9252042,7.2265741,-9.01135101,11.3127209,-8.28642305,10.5877929,-1.01063163,3.3120015
2000-02-12 15:00:00,1.1780822,-2.52470132,4.560101,-2.20393665,-4.87441046,7.2305748,-11.64040942,13.9965738,-6.63759534,8.9937597,-3.25495494,5.6111193
2000-02-13 15:00:00,1.2054795,-2.60737132,4.1407094,-1.72975047,-5.01172486,7.4226838,-15.08190471,17.4928636,-8.52591587,10.9368748,-4.28628547,6.6972444
2000-02-14 15:00:00,1.2328767,-2.83190263,4.5878215,-2.12206805,-5.29090056,7.756654,-18.43602284,20.9017763,-6.90857605,9.3743295,-3.14077525,5.6065287
2000-02-15 15:00:00,1.260274,-2.99943833,4.1612946,-1.64074661,-5.51308067,8.0336286,-18.01984079,20.5403887,-7.19115998,9.7117079,-2.12038459,4.6409325
2000-02-16 15:00:00,1.2876712,-2.76681528,3.6711269,-1.09578443,-5.33510201,7.9104445,-15.54693982,18.1222823,-6.25148696,8.8268294,-0.90352456,3.478867
2000-02-17 15:00:00,1.3150685,-2.27676931,3.4477565,-0.81761954,-4.89970044,7.5298374,-12.46787861,15.0980156,-4.92912884,7.5592658,1.1582174,1.4719196
2000-02-18 15:00:00,1.3424658,-2.37869126,2.9789653,-0.2940338,-5.05626679,7.7411983,-15.11903084,17.8039623,-4.41680738,7.1017389,0.9965428,1.6883887
2000-02-19 15:00:00,1.369863,-1.61439982,2.4675688,0.2721572,-4.34661975,7.0863458,-15.1829249,17.9226509,-5.39426161,8.1339876,1.4733435,1.2663825
2000-02-20 15:00:00,1.3972603,-1.68142844,3.2128801,-0.41835958,-4.46829277,7.2628133,-16.82789326,19.6224138,-5.12872612,7.9232467,-0.26235115,3.0568717
2000-02-21 15:00:00,1.4246575,-1.40571546,3.0219809,-0.17266579,-4.24722418,7.0965393,-15.40814443,18.2574595,-3.20087457,6.0501896,1.0965595,1.7527556
2000-02-22 15:00:00,1.4520548,-2.37641602,2.9883599,-0.08425035,-5.27256915,8.1766787,-17.33799798,20.2421076,-2.48122815,5.3853377,1.4074233,1.4966863
2000-02-23 15:00:00,1.4794521,-2.72927953,3.6385511,-0.67964701,-5.68007706,8.6389812,-15.10846564,18.0673698,-0.6025923,3.5614964,0.2353426,2.7235615
2000-02-24 15:00:00,1.5068493,-2.60388766,3.8719136,-0.85821499,-5.60932958,8.6230282,-18.4446034,21.458302,1.3901605,1.6235382,-0.26382864,3.2775273
2000-02-25 15:00:00,1.5342466,-1.93711363,4.1799028,-1.11140966,-4.99719995,8.0656931,-20.09166581,23.160159,0.6133279,2.4551653,-2.31392445,5.3824176
2000-02-26 15:00:00,1.5616438,-1.03050422,4.7118455,-1.58855786,-4.14523494,7.2685226,-15.18703169,18.3103194,-0.42895465,3.5522423,-4.3507332,7.4740209
2000-02-27 15:00:00,1.5890411,-0.82935171,4.8359491,-1.65786695,-3.99872683,7.176809,-16.58800006,19.7660823,1.3889228,1.7891594,-4.54282094,7.7209031
2000-02-28 15:00:00,1.6164384,-1.66900203,4.9586748,-1.72579811,-4.89302155,8.1258983,-16.73629675,19.9691735,1.2345036,1.9983731,-2.46350461,5.6963813
2000-02-29 15:00:00,1.6438356,-2.426056,5.5071263,-2.21945506,-5.70471992,8.9923912,-16.09848077,19.386152,0.5075701,2.7801011,-0.49412003,3.7817913
2000-03-01 15:00:00,1.6712329,-2.91717286,4.9838712,-1.64140541,-6.25048117,9.5929469,-14.47388716,17.8163529,0.5268971,2.8155686,0.7332094,2.6092563
2000-03-02 15:00:00,1.6986301,-2.25508706,4.992921,-1.59566074,-5.64303978,9.0403001,-17.2187031,20.6159634,-0.96038151,4.3576418,-1.69143475,5.088695
2000-03-03 15:00:00,1.7260274,-1.87732067,5.3794006,-1.92734579,-5.31991778,8.7719726,-17.71690822,21.168963,-0.45308589,3.9051407,-2.88070326,6.3327581
