,1,2,3,4,5,6,7,8,9,10,11,12
"1","1996-07-03","1996-07-05","1996-07-08","1996-07-09","0","0","0","0","0","0","0","0"
"2","1996-07-09","1996-07-10","1996-07-11","0","0","0","0","0","0","0","0","0"
"3","1996-07-11","1996-07-12","1996-07-15","0","0","0","0","0","0","0","0","0"
"4","1996-07-17","1996-07-18","1996-07-19","1996-07-22","1996-07-23","1996-07-24","0","0","0","0","0","0"
"5","1996-07-24","1996-07-25","1996-07-26","0","0","0","0","0","0","0","0","0"
"6","1996-07-26","1996-07-29","1996-07-30","1996-07-31","1996-08-01","1996-08-02","0","0","0","0","0","0"
"7","1996-08-02","1996-08-05","0","0","0","0","0","0","0","0","0","0"
"8","1996-08-05","1996-08-06","1996-08-07","1996-08-08","1996-08-09","1996-08-12","1996-08-13","1996-08-14","1996-08-15","0","0","0"
"9","1996-08-20","1996-08-21","1996-08-22","1996-08-23","1996-08-26","1996-08-27","1996-08-28","0","0","0","0","0"
"10","1996-09-03","1996-09-04","0","0","0","0","0","0","0","0","0","0"
"11","1996-09-04","1996-09-05","0","0","0","0","0","0","0","0","0","0"
"12","1996-09-05","1996-09-06","1996-09-09","1996-09-10","0","0","0","0","0","0","0","0"
"13","1996-09-18","1996-09-19","1996-09-20","1996-09-23","1996-09-24","0","0","0","0","0","0","0"
"14","1996-09-24","1996-09-25","0","0","0","0","0","0","0","0","0","0"
"15","1996-12-03","1996-12-04","1996-12-05","1996-12-06","1996-12-09","0","0","0","0","0","0","0"
"16","1996-12-09","1996-12-10","1996-12-11","1996-12-12","1996-12-13","1996-12-16","1996-12-17","0","0","0","0","0"
"17","1996-12-17","1996-12-18","1996-12-19","1996-12-20","0","0","0","0","0","0","0","0"
"18","1996-12-20","1996-12-23","1996-12-24","1996-12-26","1996-12-27","1996-12-30","1996-12-31","0","0","0","0","0"
"19","1997-01-02","1997-01-03","0","0","0","0","0","0","0","0","0","0"
"20","1997-01-22","1997-01-23","1997-01-24","1997-01-27","1997-01-28","0","0","0","0","0","0","0"
"21","1997-01-28","1997-01-29","0","0","0","0","0","0","0","0","0","0"
"22","1997-01-29","1997-01-30","0","0","0","0","0","0","0","0","0","0"
"23","1997-01-30","1997-01-31","0","0","0","0","0","0","0","0","0","0"
"24","1997-01-31","1997-02-03","1997-02-04","0","0","0","0","0","0","0","0","0"
"25","1997-02-04","1997-02-05","1997-02-06","1997-02-07","0","0","0","0","0","0","0","0"
"26","1997-02-07","1997-02-10","0","0","0","0","0","0","0","0","0","0"
"27","1997-02-10","1997-02-11","0","0","0","0","0","0","0","0","0","0"
"28","1997-02-11","1997-02-12","1997-02-13","0","0","0","0","0","0","0","0","0"
"29","1997-02-18","1997-02-19","1997-02-20","1997-02-21","1997-02-24","1997-02-25","1997-02-26","0","0","0","0","0"
"30","1997-02-26","1997-02-27","1997-02-28","1997-03-03","1997-03-04","0","0","0","0","0","0","0"
"31","1997-03-04","1997-03-05","1997-03-06","1997-03-07","1997-03-10","1997-03-11","0","0","0","0","0","0"
"32","1997-03-21","1997-03-24","0","0","0","0","0","0","0","0","0","0"
"33","1997-03-25","1997-03-26","1997-03-27","0","0","0","0","0","0","0","0","0"
"34","1997-03-27","1997-03-31","1997-04-01","0","0","0","0","0","0","0","0","0"
"35","1997-04-01","1997-04-02","1997-04-03","0","0","0","0","0","0","0","0","0"
"36","1997-04-03","1997-04-04","1997-04-07","1997-04-08","1997-04-09","1997-04-10","1997-04-11","1997-04-14","1997-04-15","1997-04-16","1997-04-17","0"
"37","1997-04-22","1997-04-23","1997-04-24","1997-04-25","1997-04-28","1997-04-29","1997-04-30","0","0","0","0","0"
"38","1997-05-05","1997-05-06","1997-05-07","1997-05-08","1997-05-09","0","0","0","0","0","0","0"
"39","1997-05-09","1997-05-12","1997-05-13","1997-05-14","0","0","0","0","0","0","0","0"
"40","1997-05-23","1997-05-27","0","0","0","0","0","0","0","0","0","0"
"41","1997-05-27","1997-05-28","1997-05-29","1997-05-30","1997-06-02","1997-06-03","1997-06-04","1997-06-05","1997-06-06","1997-06-09","0","0"
"42","1997-06-09","1997-06-10","0","0","0","0","0","0","0","0","0","0"
"43","1997-06-10","1997-06-11","1997-06-12","1997-06-13","0","0","0","0","0","0","0","0"
"44","1997-06-19","1997-06-20","1997-06-23","1997-06-24","0","0","0","0","0","0","0","0"
"45","1997-06-24","1997-06-25","1997-06-26","1997-06-27","1997-06-30","1997-07-01","0","0","0","0","0","0"
"46","1997-07-01","1997-07-02","0","0","0","0","0","0","0","0","0","0"
"47","1997-07-07","1997-07-08","1997-07-09","1997-07-10","1997-07-11","1997-07-14","0","0","0","0","0","0"
"48","1997-08-22","1997-08-25","0","0","0","0","0","0","0","0","0","0"
"49","1997-08-27","1997-08-28","1997-08-29","1997-09-02","0","0","0","0","0","0","0","0"
"50","1997-09-02","1997-09-03","1997-09-04","0","0","0","0","0","0","0","0","0"
"51","1997-09-04","1997-09-05","1997-09-08","0","0","0","0","0","0","0","0","0"
"52","1997-10-23","1997-10-24","1997-10-27","0","0","0","0","0","0","0","0","0"
"53","1997-10-31","1997-11-03","1997-11-04","0","0","0","0","0","0","0","0","0"
"54","1997-11-07","1997-11-10","1997-11-11","0","0","0","0","0","0","0","0","0"
"55","1997-11-11","1997-11-12","1997-11-13","0","0","0","0","0","0","0","0","0"
"56","1997-11-13","1997-11-14","0","0","0","0","0","0","0","0","0","0"
"57","1997-12-08","1997-12-09","1997-12-10","1997-12-11","0","0","0","0","0","0","0","0"
"58","1997-12-19","1997-12-22","0","0","0","0","0","0","0","0","0","0"
"59","1997-12-22","1997-12-23","1997-12-24","1997-12-26","1997-12-29","1997-12-30","1997-12-31","1998-01-02","1998-01-05","1998-01-06","1998-01-07","0"
"60","1998-01-08","1998-01-09","1998-01-12","0","0","0","0","0","0","0","0","0"
"61","1998-01-14","1998-01-15","0","0","0","0","0","0","0","0","0","0"
"62","1998-01-15","1998-01-16","0","0","0","0","0","0","0","0","0","0"
"63","1998-01-16","1998-01-20","1998-01-21","1998-01-22","0","0","0","0","0","0","0","0"
"64","1998-01-22","1998-01-23","1998-01-26","1998-01-27","1998-01-28","1998-01-29","1998-01-30","1998-02-02","1998-02-03","1998-02-04","0","0"
"65","1998-03-02","1998-03-03","1998-03-04","1998-03-05","0","0","0","0","0","0","0","0"
"66","1998-03-05","1998-03-06","1998-03-09","1998-03-10","0","0","0","0","0","0","0","0"
"67","1998-03-10","1998-03-11","1998-03-12","1998-03-13","0","0","0","0","0","0","0","0"
"68","1998-03-13","1998-03-16","1998-03-17","1998-03-18","1998-03-19","0","0","0","0","0","0","0"
"69","1998-03-23","1998-03-24","1998-03-25","1998-03-26","1998-03-27","1998-03-30","1998-03-31","0","0","0","0","0"
"70","1998-03-31","1998-04-01","1998-04-02","1998-04-03","1998-04-06","0","0","0","0","0","0","0"
"71","1998-04-07","1998-04-08","1998-04-09","1998-04-13","0","0","0","0","0","0","0","0"
"72","1998-04-13","1998-04-14","0","0","0","0","0","0","0","0","0","0"
"73","1998-04-14","1998-04-15","1998-04-16","1998-04-17","0","0","0","0","0","0","0","0"
"74","1998-04-24","1998-04-27","0","0","0","0","0","0","0","0","0","0"
"75","1998-04-30","1998-05-01","1998-05-04","1998-05-05","1998-05-06","0","0","0","0","0","0","0"
"76","1998-05-06","1998-05-07","1998-05-08","1998-05-11","1998-05-12","1998-05-13","1998-05-14","1998-05-15","0","0","0","0"
"77","1998-05-15","1998-05-18","0","0","0","0","0","0","0","0","0","0"
"78","1998-05-18","1998-05-19","0","0","0","0","0","0","0","0","0","0"
"79","1998-05-19","1998-05-20","1998-05-21","1998-05-22","1998-05-26","1998-05-27","1998-05-28","1998-05-29","1998-06-01","1998-06-02","0","0"
"80","1998-06-03","1998-06-04","1998-06-05","0","0","0","0","0","0","0","0","0"
"81","1998-06-10","1998-06-11","1998-06-12","1998-06-15","1998-06-16","1998-06-17","1998-06-18","1998-06-19","0","0","0","0"
"82","1998-06-25","1998-06-26","1998-06-29","0","0","0","0","0","0","0","0","0"
"83","1998-06-29","1998-06-30","0","0","0","0","0","0","0","0","0","0"
"84","1998-07-07","1998-07-08","1998-07-09","1998-07-10","1998-07-13","1998-07-14","1998-07-15","1998-07-16","0","0","0","0"
"85","1998-07-27","1998-07-28","1998-07-29","1998-07-30","1998-07-31","1998-08-03","1998-08-04","0","0","0","0","0"
"86","1998-08-04","1998-08-05","0","0","0","0","0","0","0","0","0","0"
"87","1998-08-05","1998-08-06","1998-08-07","1998-08-10","0","0","0","0","0","0","0","0"
"88","1998-08-10","1998-08-11","0","0","0","0","0","0","0","0","0","0"
"89","1998-08-11","1998-08-12","1998-08-13","0","0","0","0","0","0","0","0","0"
"90","1998-08-13","1998-08-14","0","0","0","0","0","0","0","0","0","0"
"91","1998-08-19","1998-08-20","1998-08-21","1998-08-24","0","0","0","0","0","0","0","0"
"92","1998-08-26","1998-08-27","0","0","0","0","0","0","0","0","0","0"
"93","1998-08-28","1998-08-31","1998-09-01","1998-09-02","0","0","0","0","0","0","0","0"
