,1,2,3,4,5,6,7,8,9,10,11,12,13
1,-3066,10535.66796,-26578.06086,9012.016664,0,0,0,0,0,0,0,0,0
2,9012.016664,2427.912979,32727.62856,0,0,0,0,0,0,0,0,0,0
3,32727.62856,10166.89427,-66427.4091,0,0,0,0,0,0,0,0,0,0
4,-2190,23992.42442,-5142.766566,-7345.055079,-7278.423532,10614.54997,0,0,0,0,0,0,0
5,10614.54997,-8541.704845,20536.80959,0,0,0,0,0,0,0,0,0,0
6,20536.80959,-7670.632809,-22.95090999,4120.07832,16090.27102,17237.22035,0,0,0,0,0,0,0
7,17237.22035,6713.116784,0,0,0,0,0,0,0,0,0,0,0
8,6713.116784,10910.68538,0,0,0,0,0,0,8496.371338,0,0,0,0
9,-2044,17369.65529,-20533.02246,9473.389466,-21714.12015,-7170.546363,-9152.88964,0,0,0,0,0,0
10,-2190,11786.62834,0,0,0,0,0,0,0,0,0,0,0
11,11786.62834,7346.061613,0,0,0,0,0,0,0,0,0,0,0
12,7346.061613,7979.404339,70.33749376,14178.31125,0,0,0,0,0,0,0,0,0
13,-2920,12946.74047,-13689.54236,-24491.0272,9316.78764,0,0,0,0,0,0,0,0
14,9316.78764,-59240.92019,0,0,0,0,0,0,0,0,0,0,0
15,-2628,-25413.94056,21360.36285,-40225.47594,14391.26426,0,0,0,0,0,0,0,0
16,14391.26426,-675.8822622,4206.024029,18884.28598,1947.457822,-23554.15149,13356.61805,0,0,0,0,0,0
17,13356.61805,0,0,15232.93306,0,0,0,0,0,0,0,0,0
18,15232.93306,-6345.467276,14397.29728,10652.81644,224.4042453,-29932.35266,-21954.30676,0,0,0,0,0,0
19,-1752,-25357.13627,0,0,0,0,0,0,0,0,0,0,0
20,-3066,11999.8413,6005.849188,-5082.406631,18323.74986,0,0,0,0,0,0,0,0
21,18323.74986,3550.551407,0,0,0,0,0,0,0,0,0,0,0
22,3550.551407,11185.16989,0,0,0,0,0,0,0,0,0,0,0
23,11185.16989,9253.39243,0,0,0,0,0,0,0,0,0,0,0
24,9253.39243,-18895.26156,14396.15529,0,0,0,0,0,0,0,0,0,0
25,14396.15529,17172.28053,-18804.92136,9797.562001,0,0,0,0,0,0,0,0,0
26,9797.562001,14040.44727,0,0,0,0,0,0,0,0,0,0,0
27,14040.44727,15012.68133,0,0,0,0,0,0,0,0,0,0,0
28,15012.68133,-6172.622882,-33740.2315,0,0,0,0,0,0,0,0,0,0
29,-2044,13555.05832,10158.18445,-16993.98742,-15981.25841,827.173572,18340.53083,0,0,0,0,0,0
30,18340.53083,14214.88862,-5843.144929,-17640.42208,13227.7201,0,0,0,0,0,0,0,0
31,13227.7201,12924.60565,-22353.26188,-1717.90652,1346.844938,-24887.99595,0,0,0,0,0,0,0
32,-2628,17495.91971,0,0,0,0,0,0,0,0,0,0,0
33,-2482,-108.973884,11280.19255,0,0,0,0,0,0,0,0,0,0
34,11280.19255,-10071.86725,16863.64491,0,0,0,0,0,0,0,0,0,0
35,16863.64491,-26059.9372,5449.759413,0,0,0,0,0,0,0,0,0,0
36,5449.759413,11263.72441,-9365.889478,0,0,-9541.320109,10278.81522,-16779.57106,9645.800562,2791.555371,-17041.81111,0,0
37,-3358,14606.08451,-14122.87012,-18257.56768,266.6442205,-2902.278109,-11711.91391,0,0,0,0,0,0
38,-4672,19531.82024,0,0,26167.50733,0,0,0,0,0,0,0,0
39,26167.50733,-17295.89415,-17000.8431,11703.29226,0,0,0,0,0,0,0,0,0
40,-3066,12115.33932,0,0,0,0,0,0,0,0,0,0,0
41,12115.33932,-72.6536909,573.3207317,-10956.29693,14200.94852,1511.821954,300.3026843,-11990.81653,862.9414878,9279.140694,0,0,0
42,9279.140694,12137.91087,0,0,0,0,0,0,0,0,0,0,0
43,12137.91087,15221.547,1592.183171,-43480.85296,0,0,0,0,0,0,0,0,0
44,-2920,-12700.14922,159.4539078,3032.795267,0,0,0,0,0,0,0,0,0
45,3032.795267,-417.1857947,17248.19225,-18891.1501,18752.59558,13423.68348,0,0,0,0,0,0,0
46,13423.68348,-34263.17751,0,0,0,0,0,0,0,0,0,0,0
47,-2774,-3874.302618,-1706.127177,-14192.52148,-5176.576939,-52476.99922,0,0,0,0,0,0,0
48,-2774,-49396.71629,0,0,0,0,0,0,0,0,0,0,0
49,-2190,19539.82631,11270.70126,13212.01712,0,0,0,0,0,0,0,0,0
50,13212.01712,-5092.473554,5425.888832,0,0,0,0,0,0,0,0,0,0
51,5425.888832,-5160.281361,-43211.5196,0,0,0,0,0,0,0,0,0,0
52,-1606,-7198.248102,-80876.68295,0,0,0,0,0,0,0,0,0,0
53,-1314,-4945.759855,-27461.18636,0,0,0,0,0,0,0,0,0,0
54,-1460,-1048.432047,16604.25058,0,0,0,0,0,0,0,0,0,0
55,16604.25058,4696.674169,13757.91285,0,0,0,0,0,0,0,0,0,0
56,13757.91285,-30983.49963,0,0,0,0,0,0,0,0,0,0,0
57,-1752,12512.03802,-1589.154207,20478.00847,0,0,0,0,0,0,0,0,0
58,-1898,15786.85791,0,0,0,0,0,0,0,0,0,0,0
59,15786.85791,-7412.602196,507.9121228,11460.00619,-18095.76151,-6803.779677,7667.224856,20641.40517,-33367.94071,3414.24787,-31927.0775,0,0
60,-1752,-17833.21184,-20409.74525,0,0,0,0,0,0,0,0,0,0
61,-1460,7961.317778,0,0,0,0,0,0,0,0,0,0,0
62,7961.317778,9686.336449,0,0,0,0,0,0,0,0,0,0,0
63,9686.336449,-12973.47101,1245.923214,11130.65078,0,0,0,0,0,0,0,0,0
64,11130.65078,0,0,18635.4089,-1037.935907,-13576.47736,15360.95277,-27045.77783,-19492.23904,24150.49472,0,0,0
65,-2336,182.1553223,449.6422856,20797.883,0,0,0,0,0,0,0,0,0
66,20797.883,567.5003351,-21192.25991,30406.31222,0,0,0,0,0,0,0,0,0
67,30406.31222,9336.853121,-39515.30361,9143.498227,0,0,0,0,0,0,0,0,0
68,9143.498227,14018.85835,-18029.2608,17036.49153,6747.738242,0,0,0,0,0,0,0,0
69,-2190,2389.264079,-26488.81565,16447.37343,-349.2938935,-24777.08413,19939.64988,0,0,0,0,0,0
70,19939.64988,477.8754792,5448.984854,-11902.16911,-33424.94288,0,0,0,0,0,0,0,0
71,-2044,-4328.183537,-2049.19889,15383,0,0,0,0,0,0,0,0,0
72,15383,12013.88204,0,0,0,0,0,0,0,0,0,0,0
73,12013.88204,10966.22102,14980.06558,1522.781765,0,0,0,0,0,0,0,0,0
74,-2336,-44863.12595,0,0,0,0,0,0,0,0,0,0,0
75,-2044,-8189.131491,10556.5595,-4278.279387,9222.037335,0,0,0,0,0,0,0,0
76,9222.037335,-5073.822964,18123.64872,-133.0140886,-7939.119919,-6677.479292,-19016.13913,6481.987499,0,0,0,0,0
77,6481.987499,29957.85358,0,0,0,0,0,0,0,0,0,0,0
78,29957.85358,8353.399528,0,0,0,0,0,0,0,0,0,0,0
79,8353.399528,-7617.4803,-4965.06875,-6142.136928,4966.619549,24092.32971,-6303.397715,-20889.51107,4295.322328,-14840.35835,0,0,0
80,-2336,-24816.53074,-27768.65554,0,0,0,0,0,0,0,0,0,0
81,-2044,23941.29336,-3727.985224,2008.108215,5367.258356,-38607.76595,3618.219199,-27958.64305,0,0,0,0,0
82,-2044,6361.163277,15187.62779,0,0,0,0,0,0,0,0,0,0
83,15187.62779,-63885.365,0,0,0,0,0,0,0,0,0,0,0
84,-1606,11575.41628,3677.102843,-11360.75458,2302.096891,-8546.198857,96.94866718,-35359.64037,0,0,0,0,0
85,-1460,-5958.418383,6173.456449,9965.866917,-10594.18179,-11083.91799,10467.61053,0,0,0,0,0,0
86,10467.61053,28237.38755,0,0,0,0,0,0,0,0,0,0,0
87,28237.38755,-12067.77206,-281.0409878,9739.289912,0,0,0,0,0,0,0,0,0
88,9739.289912,12667.53193,0,0,0,0,0,0,0,0,0,0,0
89,12667.53193,2736.34236,6650.331879,0,0,0,0,0,0,0,0,0,0
90,6650.331879,21507.53244,0,0,0,0,0,0,0,0,0,0,0
91,-1606,-4411.024125,20405.48908,5262.893368,0,0,0,0,0,0,0,0,0
92,-1752,-71390.80797,0,0,0,0,0,0,0,0,0,0,0
93,-1314,-17486.21204,-4597.06651,-20111.94656,0,0,0,0,0,0,0,0,0
94,-1606,12428.10971,-20543.0482,6957.483387,-11598.97602,10286.31741,9198.922069,-4020.881308,15852.84621,-13648.8496,-26567.14493,20064.11847,0
