,1
1,21
2,-21
3,19
4,-15
5,15
6,-14
7,13
8,-13
9,14
10,15
11,-15
12,14
13,20
14,-22
15,18
16,-15
17,14
18,-12
19,12
20,-21
21,23
22,-25
23,25
24,-27
25,23
26,-21
27,19
28,-18
29,-14
30,14
31,-13
32,18
33,17
34,-19
35,18
36,-19
37,-23
38,32
39,-28
40,21
41,-20
42,23
43,-22
44,-20
45,28
46,-25
47,19
48,19
49,-15
50,16
51,-15
52,11
53,-9
54,10
55,-9
56,9
57,-12
58,13
59,-12
60,12
61,-10
62,10
63,-10
64,11
65,-16
66,20
67,-18
68,17
69,15
70,-13
71,14
72,-15
73,14
74,16
75,-14
76,15
77,-16
78,14
79,-13
80,16
81,-14
82,14
83,-13
84,-11
85,10
86,-13
87,12
88,-11
89,10
90,-11
91,-11
92,12
93,-9
94,-11
95,11
96,-12
97,12
98,-10
99,9
100,-8
101,-9
102,10
103,-10
104,12
105,-11
106,12
107,-11
108,11
109,-11
110,11
111,-15
112,-15
113,17
114,-20
115,20
116,-18
117,22
118,-18
119,16
120,-16
121,15
122,-14
123,16
124,-18
125,17
126,-15
127,14
128,-13
129,12
130,12
131,-12
132,13
133,-16
134,15
135,-14
136,14
137,-12
138,12
139,11
140,-10
141,-11
142,13
143,-13
144,12
145,-13
146,14
147,-14
148,-15
149,14
150,-13
151,15
152,-13
153,13
154,-16
155,-15
156,15
157,-18
158,16
159,-15
160,15
161,-13
162,13
163,-14
164,14
165,20
166,-19
167,18
168,-15
169,15
170,-13
171,14
172,-11
173,12
174,-13
175,12
176,-12
177,11
178,-12
179,12
180,9
181,-9
182,9
183,-9
184,8
185,-8
186,8
187,-7
188,7
189,-7
190,7
191,-7
192,7
193,-7
194,8
195,-8
196,-8
197,7
198,-8
199,8
200,-7
201,8
202,11
203,-12
204,15
205,-18
206,17
207,-16
208,18
209,-17
210,16
211,-15
212,16
213,-15
214,15
215,-15
216,14
217,-13
218,12
219,-12
220,15
221,15
222,-15
223,15
224,-14
225,13
226,-12
227,12
228,13
229,-13
230,13
231,-12
232,17
233,-18
234,19
235,-19
236,17
237,-15
238,14
239,-15
240,18
241,16
242,-14
243,-13
244,-11
245,15
246,-16
247,15
248,-16
249,18
250,-17
251,-19
252,19
253,-18
254,17
255,15
256,14
257,18
258,23
259,10
260,-9
261,8
262,-7
263,-17
264,17
265,-17
266,30
267,-28
268,30
269,-28
270,23
271,-21
272,19
273,19
274,-20
275,19
276,-17
277,16
278,-16
279,-16
280,-25
281,27
282,-26
283,22
284,-22
285,-18
286,20
287,-18
288,18
289,-16
290,16
291,-14
292,18
293,-19
294,21
295,-20
296,22
297,-17
298,15
299,-14
300,13
301,-13
302,12
303,-11
304,12
305,-14
306,15
307,-13
308,12
309,-11
310,11
311,15
312,16
313,-17
314,-17
315,16
316,-15
317,16
318,28
319,-25
320,25
321,-24
322,23
323,-19
324,18
325,-16
326,15
327,-15
328,15
329,-14
330,14
331,-13
332,17
333,-16
334,16
335,16
336,-20
337,27
338,23
339,20
340,-19
341,18
342,-18
343,17
344,-16
345,18
346,-17
347,-17
348,15
349,-17
350,16
351,23
352,-23
353,-26
354,23
355,-23
356,-21
357,20
358,-20
359,19
360,21
361,-21
362,19
363,-15
364,15
365,-14
366,13
367,-13
368,14
369,-15
370,14
371,20
372,-22
373,18
374,-15
375,14
376,-12
377,12
378,-21
379,23
380,-25
381,25
382,-27
383,23
384,-21
385,19
386,-18
387,14
388,-13
389,18
390,17
391,-19
392,18
393,-19
394,-23
395,32
396,-28
397,21
398,-20
399,23
400,-22
401,27
402,-25
403,19
404,19
405,-15
406,16
407,-15
408,11
409,-9
410,10
411,-9
412,9
413,-12
414,13
415,-12
416,12
417,-10
418,10
419,-10
420,11
421,-16
422,20
423,-18
424,17
425,15
426,-13
427,14
428,-15
429,14
430,16
431,-14
432,15
433,-16
434,14
435,-13
436,16
437,-14
438,14
439,-13
440,-12
441,12
442,-13
443,12
444,-11
445,10
446,-11
447,-11
448,12
449,-9
450,-11
451,11
452,-12
453,12
454,-10
455,9
456,-8
457,-9
458,10
459,-10
460,12
461,-11
462,12
463,-11
464,11
465,-11
466,11
467,-15
468,-19
469,17
470,-20
471,20
472,-18
473,22
474,-18
475,16
476,-16
477,15
478,-14
479,16
480,-18
481,17
482,-15
483,14
484,-13
485,12
486,12
487,-12
488,13
489,-16
490,15
491,-14
492,14
493,-12
494,12
495,11
496,-10
497,-11
498,13
499,-13
500,12
501,-13
502,14
503,-14
504,-15
505,14
506,-13
507,15
508,-13
509,13
510,-16
511,-15
512,15
513,-18
514,16
515,-15
516,15
517,-13
518,13
519,-14
520,14
521,20
522,-19
523,18
524,-15
525,15
526,-13
527,14
528,-11
529,12
530,-13
531,12
532,-12
533,11
534,-12
535,12
536,-10
537,9
538,-9
539,9
540,-9
541,8
542,-8
543,8
544,-7
545,7
546,-7
547,7
548,-7
549,7
550,-7
551,8
552,-8
553,-8
554,7
555,-8
556,8
557,-7
558,8
559,11
560,-12
561,15
562,-18
563,17
564,-16
565,18
566,-17
567,16
568,-15
569,16
570,-15
571,15
572,-15
573,14
574,-13
575,12
576,-12
577,15
578,15
579,-15
580,15
581,-14
582,13
583,-12
584,12
585,13
586,-13
587,13
588,-12
589,14
590,17
591,-18
592,19
593,-19
594,17
595,-15
596,14
597,-15
598,18
599,-14
600,-13
601,-11
602,15
603,-16
604,15
605,-16
606,18
607,-17
608,-19
609,19
610,-18
611,17
612,14
613,18
614,23
615,10
616,-9
617,8
618,-7
619,-17
620,17
621,-17
622,30
623,-28
624,30
625,-28
626,23
627,-21
628,19
629,19
630,-20
631,19
632,-17
633,16
634,-16
635,-16
636,21
637,-25
638,27
639,-26
640,22
641,-22
642,21
643,-18
644,20
645,-18
646,18
647,-16
648,16
649,-14
650,18
651,-19
652,21
653,-20
654,22
655,-17
656,15
657,-14
658,13
659,-13
660,12
661,-11
662,12
663,-14
664,15
665,-13
666,12
667,-11
668,11
669,15
670,-17
671,16
672,-15
673,16
674,28
675,-25
676,25
677,-24
678,23
679,-19
680,18
681,-16
682,15
683,-15
684,15
685,-14
686,14
687,-13
688,17
689,-16
690,16
691,21
692,-20
693,27
694,23
695,20
696,-19
697,18
698,-18
699,17
700,-16
701,18
702,-17
703,-17
704,15
705,-17
706,16
707,23
708,-23
709,23
710,-23
711,-21
712,20
713,-20
714,19
